CURRENCY,TOTAL
USD,2330
USD,2379
JPY,104061
CAD,1387
CAD,349
CAD,138
EUR,189
EUR,90
USD,834
EUR,43
CAD,271
CAD,1232
EUR,2691
JPY,110447
CAD,1065
EUR,16
CAD,2153
USD,220935
JPY,98435
CAD,44
EUR,2230
EUR,708
EUR,1993
CAD,60
EUR,78
EUR,731
USD,47
EUR,44753
USD,798
USD,1193
USD,6836
USD,49
CAD,2021
EUR,2018
CAD,126
CAD,99
CAD,7998
JPY,270721
JPY,8212
CAD,1245
EUR,67
USD,35
CAD,82
CAD,365
JPY,23137
EUR,139
CAD,3055
USD,209
JPY,304442
EUR,102
CAD,1065
JPY,260178
EUR,29
JPY,97907
JPY,5640
EUR,3080
CAD,1075
JPY,269095
JPY,273621
EUR,16
CAD,287
CAD,4180
EUR,4441
JPY,95777
JPY,298623
JPY,5660
JPY,18707
EUR,15001
CAD,5838
JPY,263119
JPY,100865
JPY,13323
EUR,2009
USD,2278
JPY,9981
USD,2282
EUR,177
CAD,285
USD,26
EUR,942
JPY,100382
CAD,174
USD,197
CAD,870
USD,72
JPY,101727
JPY,741810
EUR,3471
EUR,817
EUR,827
CAD,51
EUR,2838
EUR,117
USD,228
USD,96
JPY,39449
EUR,783
EUR,67868
USD,2281
USD,1672
USD,2253
CAD,1146
CAD,194
CAD,671
CAD,1416
JPY,8306
CAD,1071
CAD,1489
JPY,35352
EUR,770
EUR,70
JPY,6914
JPY,14847
JPY,8067
JPY,6934
CAD,3053
USD,798
CAD,22
USD,2520
USD,2249
USD,2251
CAD,140
USD,135
CAD,3567
USD,30
CAD,97
CAD,238
EUR,364
JPY,5512
USD,2249
CAD,130
CAD,4133
EUR,148
JPY,123053
USD,803
USD,1038
JPY,104431
USD,35
CAD,4469
USD,2242
JPY,340849
JPY,8856
CAD,268180940
USD,132
USD,2946
JPY,394498
JPY,17580
CAD,1425
CAD,44
CAD,67
CAD,174
JPY,6857
CAD,35
CAD,226
EUR,114
JPY,32685
JPY,36729
JPY,2379
CAD,1373
CAD,605
USD,9756
USD,76
CAD,41
USD,1005
USD,974
CAD,41
CAD,191
CAD,1029
EUR,207
JPY,304975
JPY,263160
CAD,1155
USD,37
JPY,18878
JPY,357805
JPY,23003
JPY,114588
JPY,100679
CAD,137
CAD,51
CAD,3013
CAD,126
CAD,185
USD,1028
JPY,35323
USD,803
CAD,67
JPY,340849
USD,2256
CAD,3492
CAD,408
EUR,2128
CAD,3619
EUR,757
JPY,4374182
USD,9135
JPY,14607
USD,803
CAD,55
CAD,23
CAD,67
JPY,265248
CAD,715536
EUR,27
EUR,43
USD,137
CAD,98
JPY,161857
CAD,259
CAD,140
EUR,245462
CAD,6803
USD,2253
EUR,43
USD,173
USD,19980
JPY,38561
JPY,5682
JPY,8345
EUR,54
CAD,60
USD,176
JPY,256544
EUR,187
EUR,216
CAD,60
EUR,34577
JPY,108188
CAD,3010
CAD,25
CAD,60
EUR,2019
JPY,14847
CAD,65
JPY,91234
EUR,105
CAD,370
EUR,892
USD,3607
USD,9710
EUR,42
EUR,587
EUR,763
EUR,1990
JPY,294768
USD,880
EUR,2030
CAD,5013
EUR,2502
CAD,140
USD,7546
USD,1021
JPY,861350
JPY,17611
USD,827
JPY,252576
JPY,31116170
EUR,566
JPY,8345
EUR,40
CAD,4147
EUR,186
USD,2391
USD,128
USD,4363
USD,176
EUR,1995
EUR,53181
USD,30
JPY,92339320
JPY,9167
EUR,5282
JPY,25184
USD,17
CAD,3200
USD,5631
USD,27058
USD,129
USD,2375
CAD,845
USD,2302
CAD,1762
CAD,141
CAD,35
CAD,1441
EUR,2077
EUR,18
EUR,115
USD,198
CAD,60
USD,91
EUR,92
USD,103
EUR,708
USD,135
EUR,279
USD,104
USD,33
JPY,13125875
CAD,11473
JPY,251539
JPY,113264
EUR,3376
CAD,239
JPY,2650
CAD,328
USD,2253
CAD,1114
CAD,184
USD,3547
USD,74
JPY,115591
CAD,4877
USD,1967
USD,844
CAD,1271
CAD,8784
CAD,41
USD,429892
CAD,17033
CAD,3060
CAD,47
USD,307
CAD,319
CAD,1087
USD,66
CAD,55
CAD,387
CAD,256
CAD,93
CAD,503
JPY,1925
USD,104
CAD,44
USD,26
CAD,123
JPY,23451
USD,2551
CAD,632
USD,959
EUR,2153
EUR,169
EUR,70
EUR,766
CAD,1160
USD,6006
CAD,5812
USD,2360
USD,189
CAD,97
CAD,6842
CAD,1309
CAD,140
USD,2365
USD,1280940
CAD,65
EUR,107
EUR,70
CAD,3241
EUR,1998
EUR,29
CAD,384
USD,3055
USD,1307
USD,79
CAD,3926
USD,796
USD,47
EUR,706
CAD,3110
JPY,347969
CAD,127
USD,19
USD,30
CAD,3022
CAD,5249
EUR,2028
EUR,591
EUR,25
EUR,835
EUR,38
JPY,11738
CAD,99
USD,4678
JPY,11460
JPY,14393
CAD,519
USD,1331
CAD,3110
CAD,63
USD,380
USD,103
JPY,5099
USD,316
JPY,494179
JPY,2650
CAD,28
JPY,29232
JPY,27076
EUR,1094
USD,2551
EUR,67
EUR,145
EUR,1285
USD,423
USD,2842
CAD,57
JPY,46518
JPY,91213
EUR,2723
USD,79
EUR,2180
JPY,7016
USD,76180
USD,232
USD,878
JPY,259589
CAD,226
JPY,30918
CAD,180
CAD,3015
USD,81
CAD,2883
JPY,106608
EUR,71
JPY,11738
JPY,401174
JPY,6908
CAD,448
JPY,263324
CAD,151
CAD,274
USD,5570
USD,2282
USD,49
JPY,252576
USD,255
USD,98
CAD,287
CAD,137
USD,35
CAD,30895
JPY,26645
USD,135
JPY,458715
CAD,4192
EUR,25
CAD,1315
CAD,3061
EUR,246
CAD,15033
USD,49
CAD,1075
EUR,823
CAD,98
CAD,115
EUR,113
EUR,146
JPY,8212
EUR,731760
EUR,58
EUR,64
CAD,323
USD,3370
USD,929
USD,137
USD,49
JPY,255147
USD,2278
USD,143
EUR,27
EUR,2066
JPY,282120
EUR,2065
EUR,70
JPY,118804
USD,1244
JPY,269068
JPY,8856
USD,238
USD,21
USD,798
USD,49
EUR,897
EUR,227
JPY,92410
EUR,65
USD,1302
JPY,263921
CAD,4229
CAD,1199
CAD,51
USD,2271
USD,17
CAD,205
EUR,2146
USD,895
CAD,140
USD,45
CAD,3232
CAD,119
EUR,259
USD,837
